latitude,longitude,title,description
34.505390909974,103.12562190661,བདེ་ཐང་དགོན་དགའ་ལྡན་ཆོས་འཁོར་གླིང,"SN_id: SNG139 Remarks: verified based on the book""Monasteries of Amdo""Vol2"
34.595532,103.504218,ཅོ་ནི་དགོན་ཆེན་དགའ་ལྡན་བཤད་སྒྲུབ་གླིང་ནམ་ཏིང་འཛིན་དར་རྒྱས་གླིང,"SN_id: SNG141 Remarks: verified based on the book""Monasteries of Amdo""Vol3"
34.5253321252896,103.318420375349,དྲིན་དྲན་དགོན་བཤད་སྒྲུབ་དགེ་འཕེལ་གླིང,"SN_id: SNG142 Remarks: Verified based on the book""Monasteries of Amdo""Vol3"
35.146528,103.02787,ཁ་སྟོད་སྒར་སར་དགེ་ལྡན་བསྟན་འཕེལ་གླིང,SN_id: SNG143 Remarks: Verified based on the information provided in the dataset. Closet to the reference coordinates
34.135041,103.921092,ལ་རྩའི་སྒམ་པོ་བོན་དགོན,SN_id: SNG144 Remarks: nan
33.641928,102.068107,ཞལ་ཤུལ་དགོན་དགའ་ལྡན་བཤད་སྒྲུབ་བཀྲ་ཤིས་འབྱུང་གནས་གླིང,"SN_id: SNG147 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
34.693275245867,103.229781001433,གདོང་གཟིགས་དགོན་ཕུན་ཚོགས་རབ་རྒྱས་གླིང,SN_id: SNG148 Remarks: Verified based on the information provided in the dataset.Its the only temple in Dajia town but located in Jone county
34.028365,103.831224,བྲས་དོག་ལུང་དགོན་པ,SN_id: SNG150 Remarks: Verified based on the information provided in the dataset and its almost same as the reference coordinates
34.525701,102.789658,རྨོག་རུ་དགོན་དགའ་ལྡན་བྱམས་འཕེལ་གླིང,SN_id: SNG154 Remarks: Verified based on the photo provided in the following article: http://tb.tibet.cn/tb/index/religion/201810/t20181031_6363606.html
34.241022,103.190285,ལྷ་གསོལ་དགོན་ཆོས་འཁོར་འདུས་སྡེ་གླིང,SN_id: SNG155 Remarks: Verified based on GE. Temple appears on GE with its name.
33.760724,103.928629,པ྄ེ་ཀོང་དགོན་བདེ་ཆེན་ལྷུན་གྲུབ་གླིང,SN_id: SNG156 Remarks: Verified based on the information on GE. Only temple in Baigu village.
34.049579,103.254176,ལ་ལུང་དགོན,SN_id: SNG157 Remarks: Verified based on the information provided in the dataset
36.628454,102.754766,སེ་ར་ལུང་དགོན,"SN_id: SNG159 Remarks: Verified bases on the book""Monasteries of Amdo"""
28.4949254304351,99.8200584945932,ན,SN_id: SNY6 Remarks: nan
28.165005,98.914352,ན,SN_id: SNY21 Remarks: ཡུས་ཀུང་དགོན་
28.2653057705657,99.2320094428557,ན,"SN_id: SNY30 Remarks: Verified by Ach Adon,Yunan,Dqin Xin,Yuli Xian."
33.129413,98.126987,དགེ་གོཨང་དགོན,SN_id: SNS1 Remarks: Verified by lhachok based on Mapcarta
33.672973,103.343576,ཆོས་རྗེ་དགོན ༼ཌཔལ་ལྡན་བཤད་སྒྲུབ་ནོར་བུ་ཆོས་འཕེལ་གླིང་-་ཨཱ་ལི་ཆོས་རྗེ༽,"SN_id: SNS100 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
32.9143843115765,101.692404596978,ཀི་རྟི་དགོན་པ ༼ཀི་རྟི་དགོན་གསར་དགེ་ལྡན་ལེགས་བཤད་གླིང༽,SN_id: SNS101 Remarks: VF by Gen Samten
32.177433,102.162612,ལྷ་ཚེ་དགོན,"SN_id: SNS102 Remarks: Verified based on the book""Monasteries of Amdo"""
32.945177,101.602548,ཎགྷའི་ཕུ་དགོན ༼ཎགྷའི་ཕུ་དགོན་ཐུབ་བསྟན་དགེ་ལེགས་གཏེར་མཛོད་གླིང་-་ཨོར་མཁར་མདའ་དགོན༽,SN_id: SNS104 Remarks: nan
32.363576,98.969339,ཆུ་ངོཨགས་དགོཨན,"SN_id: SNS111 Remarks: Not sure but verified based GE. On GE its nammed ""Chongsongsi"""
33.214662,97.906525,ཁར་སཀཡ་དགོན,SN_id: SNS114 Remarks: Verified by Lhachok based on mapcarta
33.3889539192598,97.8115531711651,བ་རོཨདཕ༹་དགོན,SN_id: SNS118 Remarks: Verified by Lhachok based on mapcarta and it also shows on the GE
32.181401,101.633766,ཡུམ་འདུས་དགོན,"SN_id: SNS120 Remarks: Verified based on the book""Monasteries of Amdo""Vol1 East and South Amdo"
30.981188,99.643927,ཁྲོཨམ་དགེ་དགོན,SN_id: SNS125 Remarks: Verified by Lhachok based on Mapcarta
33.02086,98.154143,ཨོ་རོཨད་དགོན,SN_id: SNS128 Remarks: Verified by lhachok based on mapcarta
